NE_MCAID_MALE66_69,                           0.554
NE_MCAID_MALE70_74,                           0.553
NE_MCAID_MALE75_GT,                           0.513
NE_ORIGDIS_FEMALE65,                          0.623
NE_ORIGDIS_FEMALE66_69,                       0.649
NE_ORIGDIS_FEMALE70_74,                       0.59
NE_ORIGDIS_FEMALE75_GT,                       0.562
NE_ORIGDIS_MALE65,                            0.566
NE_ORIGDIS_MALE66_69,                         0.521
NE_ORIGDIS_MALE70_74,                         0.519
NE_ORIGDIS_MALE75_GT,                         0.441
